timestamp_utc,request_id,endpoint,input_type,input_length_seconds,text_length_chars,n_letters_rendered,success,error_stage,error_message_short,output_video_filename,output_video_duration_seconds,n_poses_rendered,t_total,t_download,t_extract_audio,t_asr,t_text_normalisation,t_pose_sequence,t_render
2025-12-05T19:19:07.294607,daa95cdd-1364-47ef-a6f9-79557675f8b1,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764962209.mp4,139.4,195,171.78109640000002,12.364372500000172,0.14225249999981315,21.088647700000365,9.829999908106402e-05,7.430000005115289e-05,138.0927333999989
2025-12-05T19:31:25.927486,20bd43b7-d623-4fff-848b-f261f3cc2a99,/generate_from_text/,text,,90,85,True,,,render_1764963007.mp4,74.333333,90,77.04271599999993,,,,0.00023440000040864106,3.7099998735357076e-05,77.04219709999961
2025-12-05T19:41:44.613996,a3bcac7a-ac50-4e7a-b5fa-d5361b795561,/generate_from_text/,text,,18,16,True,,,render_1764963689.mp4,13.266667,18,14.205642699998862,,,,0.0001847000003181165,1.1699999959091656e-05,14.205066200000147
2025-12-05T19:51:45.739447,a2943e68-a43f-47e4-8880-8ab1ec8bbf41,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764964164.mp4,139.4,195,163.1497803000002,4.352472500000658,0.5022926000001462,16.253953600000386,5.9500000133994035e-05,6.620000021939632e-05,141.56793079999989
2025-12-05T20:06:43.132997,11ffe6a0-ae02-4839-9ddb-3a046deb5564,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764965067.mp4,139.4,195,159.38759410000057,11.188699899999847,0.06501709999974992,12.881756700000551,6.620000021939632e-05,6.589999975403771e-05,135.19980080000096
2025-12-05T20:09:17.980875,4d7fa5f8-06a5-46c1-ad66-3afa8f716174,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764965221.mp4,139.4,195,154.7772031000004,9.749511699999857,0.06099819999872125,8.551444400000037,5.520000013348181e-05,6.759999996575061e-05,136.3687558999991
2025-12-05T20:11:51.334214,c2c00b25-9822-4729-b317-85efe0816eec,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764965377.mp4,139.4,195,153.28432260000045,10.809065999999802,0.05861130000084813,8.403981200000999,7.340000047406647e-05,9.239999963028822e-05,133.96888249999938
2025-12-05T20:14:39.745474,307128fa-1e5c-45c6-8b7d-48e56a26bf77,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764965530.mp4,139.4,195,168.32924599999933,9.815972700000202,0.06311679999998887,8.942414699999063,7.890000051702373e-05,7.619999996677507e-05,149.46003030000065
2025-12-05T20:17:19.627347,d68e3c5a-21bf-4aa3-b295-b1f6a4d9ba99,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764965698.mp4,139.4,195,159.7998886000005,9.753745600000912,0.05797030000030645,8.601954400000977,8.569999954488594e-05,7.890000051702373e-05,141.34103050000158
2025-12-05T20:19:58.889497,53321b3b-82e6-4696-8760-eafe41587be7,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764965858.mp4,139.4,195,159.17538140000033,9.844032500001049,0.05877160000090953,8.740953200000149,5.109999983687885e-05,5.79999996261904e-05,140.48819920000096
2025-12-05T20:22:41.769921,b1759546-6ca2-4ee5-8f34-23638bbe4aab,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764966017.mp4,139.4,195,162.79962560000058,9.80982220000078,0.06466069999987667,8.864417599999797,5.359999886422884e-05,5.779999992228113e-05,144.01232569999956
2025-12-05T20:25:23.386472,e609ad8a-6daf-43a3-bf32-0e02d105fda0,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764966182.mp4,139.4,195,161.5208971000011,9.889986700000009,0.0772990999994363,10.131092999999964,8.019999950192869e-05,7.349999941652641e-05,141.37337099999968
2025-12-05T20:28:07.823520,94143eef-b35a-48ba-8699-dc671d64ffa8,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764966348.mp4,139.4,195,164.35339219999878,13.924791800000094,0.0800466000000597,10.85913619999883,5.469999996421393e-05,5.94000011915341e-05,139.4322540000012
2025-12-05T20:30:49.635273,a13eb56d-475d-41c3-83e7-3897fb39559e,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1764966507.mp4,139.4,195,161.72074030000113,10.730512899999667,0.05848549999973329,8.814900899998975,5.7499999456922524e-05,6.120000034570694e-05,142.07188730000053
2025-12-06T16:01:50.994523,5fc1f722-3850-4573-ac2e-55d7c0964abe,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765036758.mp4,139.4,195,186.58266809998895,11.917011300000013,0.08336400000553112,18.65053210000042,0.0013378000003285706,6.289999873843044e-05,152.84150729999237
2025-12-06T16:04:32.879517,2e6d6556-d1fb-4534-b5cc-72671f03de0e,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765036931.mp4,139.4,195,161.32378700000118,10.574084199994104,0.06909770000493154,9.132516099998611,6.330000178422779e-05,5.879999662283808e-05,141.48821330000646
2025-12-06T16:07:13.079332,a4d5406b-94b8-4eb3-a0b4-f545b35fa3bc,/transcribe_youtube/,youtube_url,19.063583,195,149,True,,,render_1765037091.mp4,139.4,195,160.10931169999822,9.557952100003604,0.062276399999973364,9.096026100000017,6.059999577701092e-05,6.0999998822808266e-05,141.34500850000768
